************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
{'buffer_size': [10000], 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.9], 'tau': [0.002], 'LR_actor': [0.0005], 'LR_critic': [0.001], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.999], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.1], 'num_repeats': [3], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
[10000]
{'buffer_size': [10000], 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.99], 'tau': [0.002], 'LR_actor': [0.0002], 'LR_critic': [0.001], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.999], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.3], 'num_repeats': [5], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
[10000]
{'buffer_size': [10000], 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.95], 'tau': [0.002], 'LR_actor': [0.001], 'LR_critic': [0.0001], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.99995], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.1], 'num_repeats': [1], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
10000
{'buffer_size': 10000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.9], 'tau': [0.001], 'LR_actor': [0.0001], 'LR_critic': [0.0005], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.9999], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.2], 'num_repeats': [3], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
10000
{'buffer_size': 10000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.9, 'tau': 0.005, 'LR_actor': 0.0005, 'LR_critic': 0.0002, 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 3, 'seed': 1000, 'trial': 0}
time :2019-01-22 03:48:05.040366
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:71, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:15, total steps:86, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:7, steps:14, total steps:100, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:8, steps:14, total steps:114, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:9, steps:14, total steps:128, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:10, steps:14, total steps:142, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:11, steps:15, total steps:157, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:12, steps:15, total steps:172, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:13, steps:14, total steps:186, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:14, steps:14, total steps:200, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:15, steps:29, total steps:229, current:[-0.010, +0.100], score:0.007 slope:2.50e-03 epsilon:1.00
episode:16, steps:14, total steps:243, current:[+0.000, -0.010], score:0.006 slope:1.91e-03 epsilon:1.00
episode:17, steps:15, total steps:258, current:[-0.010, +0.000], score:0.006 slope:1.47e-03 epsilon:1.00
episode:18, steps:14, total steps:272, current:[-0.010, +0.000], score:0.006 slope:1.14e-03 epsilon:1.00
episode:19, steps:14, total steps:286, current:[-0.010, +0.000], score:0.005 slope:8.77e-04 epsilon:1.00
episode:20, steps:14, total steps:300, current:[-0.010, +0.000], score:0.005 slope:6.77e-04 epsilon:1.00
episode:21, steps:14, total steps:314, current:[+0.000, -0.010], score:0.005 slope:5.19e-04 epsilon:1.00
episode:22, steps:17, total steps:331, current:[+0.000, -0.010], score:0.005 slope:3.95e-04 epsilon:1.00
episode:23, steps:15, total steps:346, current:[+0.000, -0.010], score:0.004 slope:2.96e-04 epsilon:1.00
episode:24, steps:14, total steps:360, current:[+0.000, -0.010], score:0.004 slope:2.17e-04 epsilon:1.00
episode:25, steps:14, total steps:374, current:[-0.010, +0.000], score:0.004 slope:1.54e-04 epsilon:1.00
episode:26, steps:14, total steps:388, current:[+0.000, -0.010], score:0.004 slope:1.03e-04 epsilon:1.00
episode:27, steps:14, total steps:402, current:[+0.000, -0.010], score:0.004 slope:6.11e-05 epsilon:1.00
